gene_name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
ABCB4	0.8518819999999999	0.3974407	28.925644001644542	5.29996014746	0.19708199999999998	0.6992462	20.007209	0.187228	0.6912260000000001	0.21509230000000001	0.6133139	0.7567835	0.892757	0.08372489999999999	0.0	0.6015910999999999	0.134976	0.48214349999999995	0.8778919999999999	0.5059564	54.805858917	0.7263682000000001	0.81271	0.41267299999999996	0.201599	36.45144442392	0.30617300000000003	0.8187928	6.3894021	1.4907569999999999	41.840117000000006	0.0	0.2093523	35.653285002632856	0.516958	0.0	1.133678	0.17636659999999998	0.115961	0.5060218000000001	0.47852819999999996	0.51073	8.849753	0.234267	0.070102	62.185379999999995	0.32750619999999997	8.63900441313	1.6196485	0.09309769999999999	0.6654116	6.254237999999999	0.727743	41.064380317171995	0.4134067	1.0842093000000002	1.084365	0.10202	57.086309	0.5311279999999999	0.191425	0.940172	0.3304816
ABCC4	10.033883000000001	4.701274	1.0295729999999998	5.6276589999999995	2.84481	6.1771400000000005	2.407894	5.144101	3.306964	3.32572	3.916705	5.03423	2.1877199999999997	9.249264	7.515453000000001	3.5535419999999998	1.461983	6.275716999999999	4.039752	2.2618970000000003	0.987321	5.121841999999999	3.114216	4.286491000000001	4.746896999999999	0.8222637	3.870928	5.201808	6.004357000000001	4.0404219999999995	8.132467	3.277476	3.541278	1.517384	4.529161	4.789041	4.6560299999999994	2.4314639999999996	5.80415201	1.9064183000000001	2.2881690000000003	1.553028	2.382713	4.409929	7.055072	0.8201399999999999	1.2488909000000001	2.1077190000000003	1.238721	8.369727000000001	2.2205220000000003	4.727167	5.999163	0.7524219999999999	1.654561343577	4.749964	2.9220349999999997	3.1902410000000003	1.423564	3.9530010000000004	2.919924	3.5904271654200004	8.81516
ABCG2	2.5810880000000003	0.101132	0.14285	0.144905	0.263718	0.601615	0.259581	0.437946	0.5593796000000001	1.074571	0.748777	0.6536139999999999	2.40599	1.03651	1.05742	0.6150680000000001	0.46869299999999997	1.54187	0.349317	1.303312	0.125943	0.916426	2.35739	0.663931	2.155842	0.186569	0.8084560000000001	0.479268	0.088102	1.098173	1.1034700000000002	0.7763260000000001	0.563669	0.07160180000000001	1.1419089999999998	0.7171440000000001	0.662793	1.8675739999999998	1.230181	2.440526	0.9505629999999999	0.0964269	0.0499065	0.720832	0.613314	0.161225	1.6372410000000002	0.057869000000000004	2.3583929999999995	1.236623	0.800824	0.0388511	0.60233	0.12478099999999999	1.326663	0.577532	0.39925299999999997	0.6220048	0.10616800000000001	1.813548	1.209284	0.5295850000000001	1.8465129999999998
ABHD2	24.365327	43.038346999999995	22.540098	19.905603	28.4495	16.277973	23.962458	13.186753099999999	30.289484999999996	27.570700999999996	27.182485	39.406478	20.627841900000004	23.08456300117416	23.72727337584	33.905208	20.393477	36.88465	31.8069723157	26.202295	17.970530999999998	24.137958	34.226816	30.410570999999997	16.7300516	20.844535	16.8084381	14.577261	24.19548	29.499715050157803	24.471018	20.488052000000003	34.746401000000006	32.177743	28.456212234625998	33.865364	13.163799099999997	26.799923999999997	27.246592	27.939449	36.191765	29.26493	25.910852000000002	40.772932	23.580371000000003	28.645462	17.283818	24.729152	19.80305	21.767162966300003	25.144986999999997	18.041300000000003	25.116444	14.90321	26.648597	26.765615	38.51279	17.3147965	18.749818	28.158472000000003	25.869459	13.83647	30.073701
ABHD5	5.117347	13.442911	7.426291	10.607347	6.344633000000001	5.6143057377	8.148152	7.84049	3.1789327999999997	9.184209000000001	9.919127	5.45419	6.653313	5.893284	4.552475	2.3588829999999996	4.4958469999999995	16.400199999999998	6.967337	7.253169999999999	5.762534	5.818567000000001	7.682685	16.714337999999998	5.703894	6.552899	5.292324	4.97231	10.95196	6.515635000000001	5.52784	5.2215489999999996	10.282749000000003	6.508702	7.306813000000001	16.193684	4.264610899999999	7.169855999999999	6.9617	3.113978	17.449555999999998	6.001173999999999	15.294647999999999	15.370036999999998	4.544483	7.184151000000001	1.994196	12.766328	2.953106	6.916847	7.458869999999999	8.392569	7.863303999999999	6.456951132753	4.3647409999999995	7.244718000000001	8.134433999999999	5.43222	5.822474000000001	10.430118	6.1187450000000005	6.21646	6.588277000000001
ABI1	65.13407299999999	117.84410412047	79.46131610022	80.48191000000001	87.915522	54.46565799999999	83.32797683039998	50.338535	63.053828760707	84.14298	86.529095	89.972414	52.206053000000004	62.37075	59.911844589539996	59.88386199999999	45.996078000000004	128.248043	77.46797701416038	72.55891	63.9070658	76.341802	86.55987102738	135.17624799999996	55.26105151862	79.45230235699998	60.8207783305	53.49933920141798	104.23194399999998	72.32638700000001	55.57541628640001	69.073701	84.32360700000001	76.23771374000002	68.92733	146.41467999999995	42.698994129999996	79.141744	63.773326000000004	38.597032000000006	130.34837764858	70.327843	73.13645289999998	125.87178000000002	56.618752928999996	61.72816829397999	37.934706000000006	75.31299214700002	41.954921999999996	65.00047499999998	76.668627	94.91846000000001	70.64812	86.56705000000001	54.406175000000005	75.04338	81.911176	54.582039291540006	64.92366700000001	76.32822000094964	47.225538137177	45.68082999999999	69.83542899999999
ABT1	17.5078	24.0792	25.1296	18.2458	19.738	20.2871	13.1387	22.5277	22.9339	20.4003	20.3976	19.0711	13.2095	19.8851	18.5752	24.3878	13.0937	24.0247	18.5425	16.3284	27.2292	15.9822	18.0301	24.8314	16.3332	14.8789	19.3416	18.5542	20.5434	18.0465	14.9516	17.2689	21.6882	16.5517	18.3809	25.2418	15.0677	20.0256	16.6516	13.9664	23.3695	14.3397	15.8912	21.3503	19.9331	18.8338	15.4812	15.5452	16.8176	15.4658	19.1805	12.8305	16.4304	20.7263	19.3102	20.6751	20.7336	21.166999999999998	18.6861	16.1002	18.1528	17.918	19.6068
AC009965.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.129374	0.0	0.0	0.0	0.610717	0.0	0.0	0.0	0.0	0.0	0.14346099999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009967.3	1.9052900000000002	1.93685	1.4905899999999999	1.26863	0.355105	1.24361	2.24431	0.74019	1.3718	1.4672100000000001	0.718486	1.7182099999999998	1.32421	1.78047	2.5305299999999997	1.47379	1.06834	1.9734599999999998	1.25872	2.25367	0.6269170000000001	1.27752	1.36028	0.9566709999999999	1.3167799999999998	1.22555	0.522511	1.01368	1.8194400000000002	1.22516	4.69286	0.42614300000000005	0.991434	1.37989	0.945023	2.40555	2.00155	0.982187	1.45651	0.5959409999999999	2.00805	1.1114600000000001	1.34243	2.2083	0.506413	2.0110200000000003	1.2581799999999999	1.55723	0.26719499999999996	0.48765	0.407686	0.564381	1.54345	1.7003099999999998	0.448122	2.2462400000000002	2.0121900000000004	0.8168979999999999	1.8222599999999998	1.79313	1.41541	1.63412	1.2540200000000001
AC013404.1	0.0	0.0	0.0	0.0	1.73117	0.0	1.9690599999999998	1.30116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41927	0.0	0.0	0.0	0.0	0.0	1.19297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.60958	0.0	0.0	1.13399	0.0	0.0	0.0	0.0	0.0	0.550236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17507	0.0	0.0	0.0	0.0	0.0	1.3361399999999999	0.0
